X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
-700.0,800.0,-110.466,9.44107e-07,88.463,45.0,91.537,-135.0,-700.0,800.0,-500.0,1000.0
-698.0,800.0,-110.423,9.39409e-07,88.4382,45.2879,91.5618,-134.712,-698.0,800.0,-500.0,1000.0
-696.0,800.0,-110.379,9.34735e-07,88.4131,45.5787,91.5869,-134.421,-696.0,800.0,-500.0,1000.0
-694.0,800.0,-110.336,9.30086e-07,88.3878,45.8725,91.6122,-134.128,-694.0,800.0,-500.0,1000.0
-692.0,800.0,-110.292,9.25462e-07,88.3623,46.1691,91.6377,-133.831,-692.0,800.0,-500.0,1000.0
-690.0,800.0,-110.249,9.20863e-07,88.3365,46.4688,91.6635,-133.531,-690.0,800.0,-500.0,1000.0
-688.0,800.0,-110.205,9.1629e-07,88.3106,46.7715,91.6894,-133.229,-688.0,800.0,-500.0,1000.0
-686.0,800.0,-110.162,9.11743e-07,88.2845,47.0772,91.7155,-132.923,-686.0,800.0,-500.0,1000.0
-684.0,800.0,-110.119,9.0722e-07,88.262,47.3859,91.738,-132.614,-684.0,800.0,-500.0,1000.0
-682.0,800.0,-110.075,9.02717e-07,88.2533,47.6978,91.7467,-132.302,-682.0,800.0,-500.0,1000.0
-680.0,800.0,-110.032,8.98241e-07,88.2446,48.0128,91.7554,-131.987,-680.0,800.0,-500.0,1000.0
-678.0,800.0,-109.989,8.93793e-07,88.2358,48.3309,91.7642,-131.669,-678.0,800.0,-500.0,1000.0
-676.0,800.0,-109.945,8.89372e-07,88.2271,48.6522,91.7729,-131.348,-676.0,800.0,-500.0,1000.0
-674.0,800.0,-109.902,8.8498e-07,88.2183,48.9767,91.7817,-131.023,-674.0,800.0,-500.0,1000.0
-672.0,800.0,-109.859,8.80616e-07,88.2094,49.3045,91.7906,-130.696,-672.0,800.0,-500.0,1000.0
-670.0,800.0,-109.816,8.76281e-07,88.2006,49.6355,91.7994,-130.365,-670.0,800.0,-500.0,1000.0
-668.0,800.0,-109.773,8.71976e-07,88.1917,49.9697,91.8083,-130.03,-668.0,800.0,-500.0,1000.0
-666.0,800.0,-109.73,8.67701e-07,88.1828,50.3073,91.8172,-129.693,-666.0,800.0,-500.0,1000.0
-664.0,800.0,-109.687,8.63457e-07,88.1738,50.6482,91.8262,-129.352,-664.0,800.0,-500.0,1000.0
-662.0,800.0,-109.645,8.59243e-07,88.1649,50.9925,91.8351,-129.007,-662.0,800.0,-500.0,1000.0
-660.0,800.0,-109.602,8.5506e-07,88.1559,51.3402,91.8441,-128.66,-660.0,800.0,-500.0,1000.0
-658.0,800.0,-109.56,8.50909e-07,88.1469,51.6913,91.8531,-128.309,-658.0,800.0,-500.0,1000.0
-656.0,800.0,-109.517,8.46791e-07,88.1379,52.0458,91.8621,-127.954,-656.0,800.0,-500.0,1000.0
-654.0,800.0,-109.475,8.42705e-07,88.1288,52.4037,91.8712,-127.596,-654.0,800.0,-500.0,1000.0
-652.0,800.0,-109.433,8.38653e-07,88.1198,52.7652,91.8802,-127.235,-652.0,800.0,-500.0,1000.0
-650.0,800.0,-109.391,8.34634e-07,88.1107,53.1301,91.8893,-126.87,-650.0,800.0,-500.0,1000.0
-648.0,800.0,-109.35,8.30649e-07,88.1017,53.4986,91.8983,-126.501,-648.0,800.0,-500.0,1000.0
-646.0,800.0,-109.308,8.26699e-07,88.0926,53.8706,91.9074,-126.129,-646.0,800.0,-500.0,1000.0
-644.0,800.0,-109.267,8.22784e-07,88.0835,54.2461,91.9165,-125.754,-644.0,800.0,-500.0,1000.0
-642.0,800.0,-109.225,8.18905e-07,88.0744,54.6252,91.9256,-125.375,-642.0,800.0,-500.0,1000.0
-640.0,800.0,-109.184,8.15062e-07,88.0653,55.008,91.9347,-124.992,-640.0,800.0,-500.0,1000.0
-638.0,800.0,-109.144,8.11255e-07,88.0562,55.3943,91.9438,-124.606,-638.0,800.0,-500.0,1000.0
-636.0,800.0,-109.103,8.07486e-07,88.0472,55.7843,91.9528,-124.216,-636.0,800.0,-500.0,1000.0
-634.0,800.0,-109.063,8.03755e-07,88.0381,56.1779,91.9619,-123.822,-634.0,800.0,-500.0,1000.0
