X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
900.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
904.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
922.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
926.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928.0,-300.0,-147.644,1.16858e-06,88.4735,43.2867,91.5265,-93.5682,1095.2,-177.039,954.091,-275.424
930.0,-300.0,-118.715,1.44275e-06,88.774,10.1487,91.226,-62.1466,1117.11,-132.374,1063.79,-276.051
932.0,-300.0,-118.666,1.43618e-06,88.7788,10.1956,91.2212,-62.1935,1117.09,-132.407,1063.66,-276.321
934.0,-300.0,-118.618,1.42961e-06,88.7836,10.2429,91.2164,-62.2409,1117.07,-132.441,1063.53,-276.594
936.0,-300.0,-118.573,1.42304e-06,88.7884,10.2907,91.2116,-62.2887,1117.06,-132.475,1063.39,-276.87
938.0,-300.0,-118.53,1.41647e-06,88.7852,10.339,91.2148,-62.3369,1117.04,-132.509,1063.26,-277.149
940.0,-300.0,-118.489,1.40991e-06,88.7795,10.3876,91.2205,-62.3856,1117.02,-132.544,1063.12,-277.431
942.0,-300.0,-118.451,1.40335e-06,88.7738,10.4368,91.2262,-62.4347,1117.01,-132.579,1062.98,-277.715
944.0,-300.0,-118.415,1.39679e-06,88.7681,10.4864,91.2319,-62.4843,1116.99,-132.614,1062.84,-278.003
946.0,-300.0,-118.382,1.39023e-06,88.7623,10.5364,91.2377,-62.5344,1116.97,-132.65,1062.7,-278.294
948.0,-300.0,-118.351,1.38367e-06,88.7564,10.587,91.2436,-62.585,1116.95,-132.686,1062.56,-278.588
950.0,-300.0,-118.323,1.37711e-06,88.7505,10.638,91.2495,-62.636,1116.94,-132.723,1062.41,-278.885
952.0,-300.0,-118.298,1.37055e-06,88.7445,10.6895,91.2555,-62.6875,1116.92,-132.76,1062.27,-279.186
954.0,-300.0,-118.276,1.364e-06,88.7384,10.7415,91.2616,-62.7395,1116.9,-132.798,1062.12,-279.489
956.0,-300.0,-118.258,1.35744e-06,88.7324,10.7941,91.2676,-62.792,1116.88,-132.835,1061.97,-279.796
958.0,-300.0,-117.142,9.40053e-07,88.1693,-108.127,91.8307,-124.177,952.232,-317.619,952.232,-317.619
960.0,-300.0,-117.742,9.42149e-07,88.1734,-108.513,91.8266,-123.791,953.836,-318.407,953.836,-318.407
962.0,-300.0,-118.222,1.33779e-06,88.7137,10.9547,91.2863,-62.9526,1116.82,-132.951,1061.51,-280.738
964.0,-300.0,-109.104,8.07576e-07,87.8689,55.7843,92.1311,-124.216,964.0,-300.0,1100.0,-100.0
966.0,-300.0,-109.064,8.03845e-07,87.859,56.1779,92.141,-123.822,966.0,-300.0,1100.0,-100.0
