X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
-1800.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1798.0,-1700.0,-153.939,1.15996e-06,86.8669,-73.59,93.1331,-127.65,-1785.93,-1740.99,-1785.93,-1740.99
-1796.0,-1700.0,-153.981,1.15822e-06,86.8622,-76.1949,93.1378,-127.65,-1785.93,-1740.99,-1785.93,-1740.99
-1794.0,-1700.0,-144.316,1.22873e-06,87.0424,-123.032,92.9576,-130.096,-1803.85,-1742.12,-1813.48,-1729.97
-1792.0,-1700.0,-141.886,1.2479e-06,87.0879,-120.663,92.9121,-130.096,-1803.85,-1742.12,-1813.21,-1735.78
-1790.0,-1700.0,-143.477,1.44307e-06,87.99,-27.6822,92.6432,-134.355,-1842.29,-1747.81,-1787.72,-1701.19
-1788.0,-1700.0,-143.387,1.43717e-06,87.9704,-27.8053,92.6504,-134.231,-1841.1,-1747.66,-1787.79,-1700.11
-1786.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1784.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1782.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1780.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1778.0,-1700.0,-150.026,1.03709e-06,86.4953,-55.9771,93.5047,-125.131,-1759.75,-1727.04,-1759.75,-1727.04
-1776.0,-1700.0,-146.097,1.0335e-06,86.4831,-58.9891,93.5169,-125.131,-1759.75,-1727.04,-1759.75,-1727.04
-1774.0,-1700.0,-139.535,1.07182e-06,86.609,123.437,93.391,-126.708,-1769.57,-1727.43,-1774.19,-1699.71
-1772.0,-1700.0,-147.607,1.07458e-06,86.6177,-130.896,93.3823,-126.708,-1769.57,-1727.43,-1783.77,-1713.59
-1770.0,-1700.0,-148.732,1.07904e-06,86.6317,-133.11,93.3683,-126.708,-1769.57,-1727.43,-1783.72,-1714.66
-1768.0,-1700.0,-151.558,1.08368e-06,86.6461,-135.174,93.3539,-126.708,-1769.57,-1727.43,-1783.68,-1715.59
-1766.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1764.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1762.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1760.0,-1700.0,-115.91,1.2527e-06,87.0991,-129.26,92.9009,-129.126,-1798.28,-1743.76,-1797.15,-1745.45
-1758.0,-1700.0,-133.957,1.25729e-06,93.1948,-129.92,93.1948,-129.276,-1798.21,-1742.37,-1769.5,-1713.74
-1756.0,-1700.0,-145.329,1.26163e-06,93.1839,-131.284,93.1839,-129.276,-1798.21,-1742.37,-1767.86,-1713.51
-1754.0,-1700.0,-141.956,1.20137e-06,86.975,-126.708,93.025,-127.441,-1786.02,-1742.94,-1786.02,-1742.94
-1752.0,-1700.0,-138.651,1.20543e-06,86.9852,-128.385,93.0148,-127.441,-1786.02,-1742.94,-1786.02,-1742.94
-1750.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1748.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1746.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1744.0,-1700.0,-109.288,8.24764e-07,85.5915,54.2461,94.4085,-125.754,-1744.0,-1700.0,-1600.0,-1500.0
-1742.0,-1700.0,-109.247,8.20894e-07,85.5706,54.6252,94.4294,-125.375,-1742.0,-1700.0,-1600.0,-1500.0
-1740.0,-1700.0,-109.206,8.1706e-07,85.5498,55.008,94.4502,-124.992,-1740.0,-1700.0,-1600.0,-1500.0
-1738.0,-1700.0,-109.165,8.13263e-07,85.529,55.3943,94.471,-124.606,-1738.0,-1700.0,-1600.0,-1500.0
-1736.0,-1700.0,-109.125,8.09504e-07,85.5082,55.7843,94.4918,-124.216,-1736.0,-1700.0,-1600.0,-1500.0
