X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
400.0,-300.0,-110.464,9.43843e-07,90.7267,45.0,89.2733,-135.0,400.0,-300.0,600.0,-100.0
402.0,-300.0,-110.42,9.39136e-07,90.7304,45.2879,89.2696,-134.712,402.0,-300.0,600.0,-100.0
404.0,-300.0,-110.377,9.34454e-07,90.734,45.5787,89.266,-134.421,404.0,-300.0,600.0,-100.0
406.0,-300.0,-110.333,9.29795e-07,90.7377,45.8725,89.2623,-134.128,406.0,-300.0,600.0,-100.0
408.0,-300.0,-119.635,9.25163e-07,90.7414,46.3089,89.2586,-133.896,468.953,-236.196,468.953,-236.196
410.0,-300.0,-130.168,9.20594e-07,90.7451,47.2627,89.2549,-133.896,468.953,-236.196,468.953,-236.196
412.0,-300.0,-135.585,9.16106e-07,90.7406,48.2469,89.2594,-133.896,468.953,-236.196,468.953,-236.196
414.0,-300.0,-139.106,9.11703e-07,90.7282,49.2621,89.2718,-133.896,468.953,-236.196,468.953,-236.196
416.0,-300.0,-141.705,9.07391e-07,90.7156,50.3094,89.2844,-133.896,468.953,-236.196,468.953,-236.196
418.0,-300.0,-143.782,9.03175e-07,90.7028,51.3894,89.2972,-133.896,468.953,-236.196,468.953,-236.196
420.0,-300.0,-145.802,8.99058e-07,90.6898,52.5029,89.3102,-133.896,468.953,-236.196,468.953,-236.196
422.0,-300.0,-147.877,8.95046e-07,90.6766,53.6506,89.3234,-133.896,468.953,-236.196,468.953,-236.196
424.0,-300.0,-149.89,8.91144e-07,90.6632,54.8332,89.3368,-133.896,468.953,-236.196,468.953,-236.196
426.0,-300.0,-151.893,8.87355e-07,90.6496,56.0512,89.3504,-133.896,468.953,-236.196,468.953,-236.196
428.0,-300.0,-157.497,9.66322e-07,76.6248,90.1084,84.6327,-143.435,427.863,-227.676,427.863,-227.676
430.0,-300.0,-157.13,9.66426e-07,77.011,90.709,84.57,-143.795,429.073,-225.122,429.073,-225.122
432.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
